entity,count
'melanin-concentrating hormone',14
'Arachidonate 5-Lipoxygenase',14
['CIDEC gene',14
'sulfonylurea receptor'],14
'Glial Fibrillary Acidic Protein',14
'Immunoglobulin M',14
['HD protein,14
'SSTR5 protein,14
'resistin',14
'Melogliptin',14
'Pancreatic Elastase',14
'Estrogen Receptor alpha'],14
['collagen',14
'caspase',14
'Cyclic AMP-Dependent Protein Kinases'],14
'SESN1 gene',14
'HEXOKINASE'],14
'Lectin'],14
['G-Protein-Coupled Receptors',14
'GCG gene'],14
'ARGINASE',14
'INSL4 protein,14
['PPARGC1A wt Allele',14
'AMPA Receptors',13
'MAPKAPK2 gene',13
['AICA ribonucleotide',13
'Beta-Secretase 2,13
'VNN1 gene',13
['Edg-2 lysophosphatidic acid receptor binding',13
'ENTEROPEPTIDASE',13
['Glycogen Phosphorylase',13
['Peptide YY',13
'GOLGA6A gene',13
'Epoxide hydrolase',13
'UGT1A1 gene',13
'LPAR1 gene',13
'Wnt Proteins',13
['Glycoside Hydrolases',13
'CD44 Antigens',13
'Lente Insulin'],13
'Gamma-glutamyl transferase'],13
'Kv1.1 Potassium Channel'],13
'G-Protein-Coupled Receptors'],13
['Glucocorticoid Receptor',13
'preproinsulin',13
'Melanocyte stimulating hormone'],13
['MLXIPL gene',13
'Deacetylase',13
['pantetheinase activity',13
['MC4R protein,13
'PIP4K2A gene',13
'SLC5A1 protein,13
['Receptor,13
Protamine Zinc',13
['NR1H4 gene',13
'Nicotinic Receptors',13
Cannabinoid,13
'Structure of beta Cell of islet',13
'APLN protein,13
'BRCA1 wt Allele'],13
'Sterol 12-alpha-Hydroxylase',13
['DPP4 gene',13
'Caspase-1',13
'Enkephalins',13
'FGF19 protein,13
'MicroRNAs',13
'CTDNEP1 gene',13
'Lipoproteins',13
'GIPR gene',13
'Clusterin',13
'KLF4 protein,13
'calcitonin receptor-like receptor',13
'BRCA1 wt Allele',13
'Kruppel-Like Transcription Factors',12
['Receptors,12
'ARNTL gene',12
'CD31 Antigens',12
'MT3 protein,12
'TACC2 gene',12
'CPT1A gene',12
'Cyclin D1',12
'MIB1 gene',12
'urokinase'],12
'Serum Albumin'],12
'Glucagon Receptor,12
'Hypothalamic Releasing Factor',12
non-receptor type 1',12
'Porphobilinogen',12
'Metalloproteases'],12
'lipase'],12
'Ribonucleases',12
'chymotrypsin',12
Nuclear',12
['IGF1 gene',12
['glucagon'],12
